comune,comune_codice_istat,stemma_araldica,stemma,nome_file,comune_codice_istat,comune_codice_istat,est
Canischio,001052,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Canischio-1.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Canischio-1.jpg,Canischio-1.jpg,001052,001052,jpg
Cantalupa,001053,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cantalupa-A.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Cantalupa-A.jpg,Cantalupa-A.jpg,001053,001053,jpg
Cantoira,001054,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cantoira.jpg?fit=240%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Cantoira.jpg,Cantoira.jpg,001054,001054,jpg
Caprie,001055,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Caprie.jpg?fit=220%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Caprie.jpg,Caprie.jpg,001055,001055,jpg
Caravino,001056,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/caravino-1.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/caravino-1.jpg,caravino-1.jpg,001056,001056,jpg
Carema,001057,https://i1.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/carema.jpg?fit=257%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/carema.jpg,carema.jpg,001057,001057,jpg
Carignano,001058,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Carignano-1.jpg?fit=217%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Carignano-1.jpg,Carignano-1.jpg,001058,001058,jpg
Carmagnola,001059,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/carmagnola.jpg?fit=300%2C272&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/carmagnola.jpg,carmagnola.jpg,001059,001059,jpg
Casalborgone,001060,https://i0.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/casalborgone.jpg?fit=227%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/casalborgone.jpg,casalborgone.jpg,001060,001060,jpg
Cascinette d'Ivrea,001061,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/Cascinette-dIvrea.jpg?fit=218%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/Cascinette-dIvrea.jpg,Cascinette-dIvrea.jpg,001061,001061,jpg
Caselette,001062,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/caselette.jpg?fit=211%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/caselette.jpg,caselette.jpg,001062,001062,jpg
Caselle Torinese,001063,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/caselletorinese.jpg?fit=220%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/caselletorinese.jpg,caselletorinese.jpg,001063,001063,jpg
Castagneto Po,001064,https://i2.wp.com/www.araldicacivica.it/wp-content/uploads/2016/04/castagnetopo.jpg?fit=229%2C300&ssl=1,https://raw.githubusercontent.com/opendatasicilia/OpenDataSicilia-per-il-Coronavirus/main/docs/info_covid/Stemma_comuni_Italia/comuni/castagnetopo.jpg,castagnetopo.jpg,001064,001064,jpg
